,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Age_group,distance_group
3888,1,0,41,1,0,1949,1,1,4,1,5,4,4,4,4,4,4,3,4,5,0,0.0,0,1,1
3889,1,0,30,1,0,2894,3,3,3,3,3,3,3,3,5,5,4,3,5,3,8,5.0,0,0,1
3893,1,0,30,1,0,1379,4,2,2,2,4,4,4,4,1,2,3,4,4,4,0,0.0,1,0,0
3894,1,0,40,0,2,1303,3,3,3,3,2,3,2,2,1,3,3,4,4,2,0,0.0,1,1,0
3895,1,0,44,0,2,2007,2,4,2,2,4,2,4,4,5,2,3,3,4,4,17,9.0,1,1,1
3896,0,0,52,1,0,2960,4,4,4,4,5,5,5,5,5,5,5,4,5,4,0,6.0,0,1,1
3897,0,0,33,1,0,3081,4,4,4,4,5,4,4,4,4,4,4,4,4,5,15,8.0,0,0,1
3900,1,0,45,1,0,239,2,2,4,2,2,5,5,4,4,4,4,4,4,4,3,0.0,0,1,0
3901,1,0,46,1,2,425,1,2,2,2,1,1,1,1,4,5,4,2,3,1,0,0.0,1,1,0
3903,1,1,47,1,2,720,3,3,3,3,2,3,5,2,4,2,5,3,3,2,0,7.0,1,1,0
3904,0,1,33,1,1,402,2,2,2,3,5,2,5,5,4,5,3,3,3,5,0,0.0,1,0,0
3905,1,0,49,1,0,2253,4,4,4,4,3,5,4,4,4,4,4,3,4,3,0,0.0,0,1,1
3906,0,0,52,0,0,748,3,4,3,4,3,4,4,4,4,3,4,3,4,5,0,0.0,1,1,0
3908,1,0,22,1,1,236,5,4,4,4,5,5,5,5,5,2,1,5,5,5,3,0.0,0,0,0
3909,1,1,54,1,0,1050,2,2,2,3,1,2,1,1,3,2,5,5,4,1,0,0.0,1,1,0
3911,0,1,11,1,2,986,4,4,4,4,4,4,4,4,1,3,3,4,4,4,0,0.0,1,0,0
3913,1,1,25,1,0,516,3,4,3,1,4,3,4,4,3,5,4,3,4,4,0,0.0,1,0,0
3918,1,0,46,1,0,1671,1,1,1,1,3,4,4,4,4,4,4,5,4,5,0,0.0,0,1,1
3919,1,1,28,1,0,868,4,4,4,5,3,4,3,3,5,5,5,3,4,3,0,0.0,0,0,0
3920,1,0,44,1,0,2858,2,1,2,2,4,4,5,4,4,4,4,3,4,4,0,4.0,0,1,1
3921,0,1,23,1,2,1242,4,4,4,2,4,4,4,4,3,3,4,3,4,4,0,0.0,0,0,0
3922,1,0,61,0,2,1033,3,5,4,3,3,4,3,3,4,5,5,4,5,3,1,0.0,1,2,0
3923,0,0,39,0,2,250,4,4,0,4,1,0,1,1,4,2,4,4,4,1,21,11.0,1,0,0
3925,1,0,36,1,0,1538,0,1,1,4,3,3,4,3,3,3,3,4,3,4,0,2.0,0,0,1
3926,0,0,31,1,1,515,5,5,5,5,5,5,5,5,1,4,5,2,3,5,0,3.0,0,0,0
3931,1,0,34,0,1,101,1,3,1,2,5,1,5,5,4,2,2,4,4,5,0,0.0,1,0,0
3933,0,0,63,0,1,321,2,3,2,2,3,1,4,2,2,2,2,2,2,4,3,0.0,1,2,0
3935,0,0,39,0,2,1454,1,4,1,2,4,1,4,4,5,3,5,5,4,4,0,0.0,1,0,0
3936,0,0,52,1,0,341,0,0,0,1,4,4,5,2,2,2,2,5,2,5,0,0.0,0,1,0
3937,1,0,47,1,0,2475,5,5,5,5,2,3,4,4,4,4,4,4,4,4,0,0.0,0,1,1
3941,0,0,57,1,0,213,2,4,4,4,2,3,4,2,2,2,2,3,2,1,0,0.0,1,1,0
3942,0,0,49,1,2,780,5,5,5,5,3,1,4,5,5,5,5,4,5,4,28,5.0,0,1,0
3943,0,0,56,1,0,888,2,2,2,2,2,5,4,5,5,5,5,4,5,3,17,0.0,0,1,0
3944,0,0,20,1,1,666,4,1,1,1,4,5,3,4,4,4,1,5,4,4,0,0.0,0,0,0
3945,0,0,33,1,2,192,1,5,3,5,1,1,1,1,3,5,3,3,3,1,0,0.0,1,0,0
3946,0,0,67,1,2,308,2,5,2,2,1,4,3,2,2,2,2,2,2,1,0,6.0,1,2,0
3947,0,1,38,1,0,1547,5,5,5,2,3,5,3,3,5,5,4,4,5,3,9,3.0,0,0,1
3948,0,0,64,1,0,2659,1,5,5,5,2,4,4,1,1,1,1,3,1,1,0,0.0,1,2,1
3950,1,0,27,1,1,1372,3,2,1,1,3,3,3,3,1,5,4,2,3,3,0,0.0,1,0,0
3951,1,0,16,0,0,354,4,5,4,2,3,4,3,3,4,5,4,4,4,3,0,0.0,1,0,0
3954,1,0,34,1,0,3260,1,1,1,1,5,4,4,5,5,5,5,3,5,5,0,0.0,0,0,1
3955,0,0,66,0,2,600,3,1,3,4,1,3,4,5,5,3,5,4,5,3,2,9.0,1,2,0
3956,1,0,46,1,0,259,1,1,1,1,3,5,5,4,4,4,4,3,4,3,13,3.0,0,1,0
3958,1,1,29,1,0,719,2,2,2,1,3,2,3,3,5,5,5,4,4,3,0,0.0,1,0,0
3959,1,0,36,1,2,509,4,5,5,5,4,4,4,4,4,3,4,3,3,4,0,2.0,1,0,0
3960,0,0,63,1,0,3472,3,3,3,3,3,5,1,5,5,5,5,3,5,3,0,6.0,0,2,1
3961,1,0,52,1,2,2218,4,1,1,1,4,4,4,4,3,3,5,4,1,4,4,0.0,0,1,1
3963,1,0,25,0,1,460,2,5,2,4,1,2,1,1,5,4,5,5,5,1,19,8.0,1,0,0
3964,1,0,68,0,2,216,2,4,2,4,4,2,4,4,5,3,4,4,4,4,4,8.0,1,2,0
3965,1,0,33,1,0,2489,5,5,5,5,4,4,4,4,3,4,4,4,5,4,0,0.0,0,0,1
3966,1,0,39,1,2,1071,5,3,3,3,5,5,5,5,3,5,1,5,5,5,0,0.0,0,0,0
3969,1,0,39,0,2,2475,4,4,4,3,4,4,4,4,5,4,4,4,3,4,0,0.0,1,0,1
3970,1,0,11,0,2,1276,1,2,1,4,3,1,3,3,4,2,3,2,4,3,0,0.0,1,0,0
3971,0,0,15,0,2,250,2,5,0,3,3,0,3,3,3,5,4,4,4,3,0,0.0,1,0,0
3972,1,0,39,1,2,228,4,4,2,4,4,4,4,4,1,5,4,5,5,4,0,0.0,0,0,0
3974,0,0,32,1,0,853,2,2,2,2,5,5,5,5,5,5,5,3,4,5,0,0.0,0,0,0
3976,1,0,36,1,0,2041,5,5,5,5,4,4,4,5,5,5,5,4,5,3,0,1.0,0,0,1
3978,0,0,25,1,0,674,5,5,5,5,4,4,4,4,1,5,4,5,5,4,9,4.0,0,0,0
3979,0,1,38,1,0,429,1,1,1,5,2,1,2,2,4,2,5,5,4,2,0,0.0,1,0,0
3980,1,1,28,1,2,554,3,0,2,2,4,2,4,4,5,1,2,5,1,4,0,0.0,1,0,0
3981,1,0,29,1,1,1747,2,4,4,4,2,2,2,2,2,2,4,2,3,2,0,0.0,1,0,1
3982,0,0,39,0,2,522,3,4,3,4,4,3,3,4,4,2,4,5,4,4,0,0.0,1,0,0
3983,0,0,31,1,0,606,3,5,3,3,5,5,5,5,3,3,5,3,4,5,1,0.0,0,0,0
3986,0,0,31,0,2,413,4,5,4,1,1,4,1,1,4,2,5,3,5,1,0,0.0,1,0,0
3987,1,0,31,1,0,705,2,2,2,2,5,5,5,5,4,4,2,3,1,5,0,0.0,0,0,0
3988,0,0,19,1,0,1575,4,4,4,4,3,3,3,3,5,5,4,5,5,3,10,0.0,0,0,1
3990,1,1,21,1,2,204,5,4,4,2,1,4,1,1,5,2,5,4,4,1,0,0.0,0,0,0
3992,0,0,46,0,2,2917,3,2,3,4,3,5,5,3,3,4,3,5,2,5,3,11.0,1,1,1
3993,0,0,38,1,2,550,4,3,3,3,4,3,4,4,2,5,3,3,3,4,0,0.0,1,0,0
3994,1,1,23,1,2,192,5,4,5,2,5,5,5,5,4,1,4,5,4,5,0,0.0,0,0,0
3995,1,0,32,1,0,1846,2,2,2,2,3,4,3,3,5,3,5,5,4,3,8,2.0,0,0,1
3996,1,1,54,1,2,331,4,0,4,3,5,4,5,5,3,3,2,4,3,5,0,0.0,1,1,0
3997,1,0,41,1,0,1428,4,4,4,4,4,2,3,4,4,4,4,4,4,1,4,0.0,0,1,0
3998,0,0,45,1,0,3028,3,3,2,3,2,5,4,5,5,4,5,4,5,3,0,0.0,0,1,1
4001,1,1,36,1,0,214,3,3,3,2,5,3,5,5,4,4,5,4,5,5,1,0.0,1,0,0
4002,0,0,42,1,0,821,3,3,3,3,3,4,5,4,4,4,4,4,4,3,0,0.0,0,1,0
4004,1,0,61,1,0,3734,3,2,2,2,1,4,4,3,3,3,3,3,3,4,0,0.0,1,2,1
4007,1,0,51,0,2,1105,1,2,1,4,4,1,4,4,1,5,4,2,4,4,8,3.0,1,1,0
4008,0,1,27,1,0,1576,2,2,2,3,3,2,4,3,4,2,5,5,4,3,0,0.0,1,0,1
4009,1,1,52,1,2,651,3,5,3,2,3,3,3,3,3,3,3,3,3,3,0,0.0,1,1,0
4010,1,0,59,0,0,2092,3,2,3,3,2,4,4,2,2,3,2,4,2,1,0,0.0,1,1,1
4011,1,0,39,1,2,226,3,3,3,3,3,3,3,3,1,4,4,3,4,3,4,0.0,1,0,0
4012,1,0,72,1,2,337,5,3,3,3,5,5,5,5,1,2,5,4,3,5,0,0.0,0,2,0
4014,1,0,43,1,0,2167,4,4,4,4,3,5,5,4,4,4,4,5,4,3,2,2.0,0,1,1
4016,1,0,54,1,0,312,2,2,2,2,5,5,4,5,5,5,5,5,5,5,0,0.0,0,1,0
4019,1,0,25,0,2,919,3,1,3,2,5,3,5,5,3,4,3,3,3,5,1,0.0,1,0,0
4020,1,0,58,1,0,1342,3,3,4,3,3,5,5,5,5,5,5,3,5,4,9,1.0,0,1,0
4021,0,0,24,1,0,1773,5,3,5,5,5,5,5,5,3,4,3,5,5,5,15,0.0,0,0,1
4022,1,0,52,1,0,978,5,5,5,5,3,5,5,5,5,5,5,4,5,5,0,0.0,0,1,0
4023,0,0,65,1,0,311,1,1,1,1,2,5,4,4,4,4,4,2,4,4,0,0.0,0,2,0
4026,0,0,53,1,0,273,4,4,4,4,5,5,4,4,4,4,4,3,4,4,0,0.0,0,1,0
4027,1,1,19,1,2,770,2,2,2,3,4,2,4,4,1,5,1,5,4,4,0,6.0,1,0,0
4032,0,0,56,0,2,1096,2,4,2,4,1,2,1,2,2,2,4,5,2,2,0,0.0,1,1,0
4033,0,0,19,0,2,257,3,1,0,4,2,0,2,2,2,2,3,4,4,2,0,0.0,1,0,0
4034,0,0,12,0,2,190,2,5,2,2,1,2,1,1,5,3,4,3,4,1,0,0.0,1,0,0
4036,1,0,60,1,0,3322,4,4,4,4,4,5,4,3,3,4,5,4,3,4,0,0.0,0,2,1
4037,1,1,30,1,2,780,4,4,4,3,2,4,2,2,3,2,4,3,4,2,0,0.0,1,0,0
4038,1,0,19,1,0,1979,2,2,2,2,4,4,4,4,5,3,5,5,5,4,3,0.0,0,0,1
4040,0,0,54,1,0,1199,3,4,4,4,5,3,4,3,3,3,3,3,3,2,0,0.0,1,1,0
4042,1,0,36,1,2,271,4,5,5,5,4,4,4,4,3,1,4,3,5,4,0,1.0,0,0,0
4043,0,1,20,1,2,368,2,3,2,3,1,2,1,1,3,3,2,4,3,1,24,10.0,1,0,0
4044,0,0,51,1,0,101,0,4,0,1,4,5,1,5,5,1,1,2,5,1,10,11.0,0,1,0
4045,1,0,29,1,1,641,1,3,4,4,1,2,1,1,3,3,4,3,4,1,0,2.0,1,0,0
4049,1,0,44,1,0,3712,2,2,3,2,4,5,4,5,5,5,5,5,5,4,10,8.0,0,1,1
4051,1,0,27,1,1,611,1,3,2,3,1,1,1,1,2,4,4,2,3,1,0,0.0,1,0,0
4054,0,0,51,1,0,3040,5,5,5,5,4,4,5,4,4,4,4,5,4,5,0,0.0,0,1,1
4055,1,0,39,0,2,227,3,5,3,3,4,3,4,4,5,5,4,5,4,4,0,8.0,1,0,0
4056,1,1,62,1,2,399,1,4,1,3,2,1,2,2,3,2,3,4,3,2,0,0.0,1,2,0
4057,0,0,34,1,0,500,1,1,1,1,3,4,5,4,4,4,4,4,4,3,0,0.0,0,0,0
4058,1,0,63,0,2,909,4,3,4,4,5,4,5,5,2,2,3,3,3,5,3,4.0,1,2,0
4059,0,0,69,0,1,383,2,5,4,4,4,2,1,5,5,4,5,3,5,4,8,3.0,1,2,0
4060,1,1,37,1,2,867,1,1,1,2,1,1,1,1,3,5,4,5,4,1,0,4.0,1,0,0
4061,0,0,36,1,2,697,5,2,2,2,5,5,5,5,2,5,5,5,5,5,0,0.0,0,0,0
4063,0,0,39,1,0,2347,5,5,5,5,5,5,4,5,5,5,5,5,5,4,0,0.0,0,0,1
4065,0,0,56,1,0,2266,5,5,4,5,3,3,2,5,5,5,5,3,5,1,0,0.0,0,1,1
4066,0,0,29,0,2,362,1,2,2,3,5,2,5,5,2,2,4,2,3,5,0,0.0,1,0,0
4067,0,0,53,1,2,558,1,4,4,4,5,3,4,1,1,1,1,4,1,4,14,6.0,1,1,0
4070,1,0,70,0,2,312,1,1,1,2,1,1,1,1,3,5,2,4,3,1,0,0.0,1,2,0
4072,0,0,60,1,0,991,1,1,1,1,3,4,4,5,5,5,5,3,5,4,4,0.0,0,2,0
4076,0,0,48,1,0,201,1,1,1,1,3,5,5,5,5,5,5,2,5,3,0,0.0,0,1,0
4077,0,0,58,0,2,517,2,4,5,4,2,5,5,5,5,5,5,3,5,3,0,0.0,1,1,0
4079,0,1,22,1,0,1378,5,5,5,3,5,2,2,4,4,4,4,2,5,2,0,0.0,0,0,0
4080,1,0,37,1,0,2421,3,3,3,3,2,4,4,5,5,5,5,3,5,5,4,1.0,0,0,1
4082,0,0,60,0,2,166,1,5,1,3,2,4,4,3,3,1,3,5,3,4,0,0.0,1,2,0
4083,1,0,36,1,0,1597,5,5,5,5,3,4,4,4,4,4,4,4,4,5,0,0.0,0,0,1
4084,0,0,44,1,0,1516,0,4,0,2,3,4,4,2,2,2,1,3,2,4,4,0.0,0,1,1
4085,1,1,19,1,0,517,4,0,4,4,3,4,3,3,5,4,5,4,5,3,7,8.0,0,0,0
4086,0,0,33,1,0,1121,4,4,3,4,4,5,4,5,5,5,5,3,5,4,0,0.0,0,0,0
4088,0,0,52,0,2,846,2,5,2,1,4,4,5,4,4,2,4,4,4,5,1,0.0,1,1,0
4089,0,1,30,1,2,501,1,5,1,1,1,1,4,1,5,5,3,5,5,1,0,0.0,1,0,0
4093,0,0,32,0,1,265,1,3,1,4,4,1,4,4,1,2,2,3,4,4,0,4.0,1,0,0
4095,0,0,18,1,1,2585,3,3,5,3,3,1,3,1,1,4,3,3,4,3,6,0.0,1,0,1
4097,0,0,55,1,0,1541,2,1,1,1,4,3,3,2,2,2,2,2,2,3,0,0.0,1,1,1
4098,1,0,48,1,0,1935,2,2,2,2,3,4,4,4,4,4,4,5,4,4,0,0.0,0,1,1
4099,1,0,44,1,2,563,5,4,4,4,5,5,5,5,5,4,3,4,4,5,4,1.0,0,1,0
4101,1,0,41,1,2,451,3,3,3,3,4,3,4,4,1,1,2,5,5,4,0,0.0,0,1,0
4102,1,0,54,1,0,931,4,4,4,4,4,4,5,4,4,4,4,3,4,3,0,5.0,0,1,0
4104,1,0,36,1,1,366,5,2,2,2,5,5,5,5,1,3,2,3,2,5,0,0.0,0,0,0
4113,0,0,30,0,2,786,3,4,3,2,5,3,3,5,4,3,4,3,4,5,1,0.0,1,0,0
4115,0,1,42,1,0,213,2,1,1,5,1,2,1,1,4,5,5,5,5,1,0,0.0,1,1,0
4117,1,1,57,1,2,119,5,2,5,1,4,5,3,4,1,2,4,5,4,4,0,0.0,0,1,0
4118,0,0,59,1,0,3181,0,5,0,4,2,4,4,5,5,5,5,3,5,5,0,0.0,0,1,1
4119,0,0,60,1,0,853,4,3,4,4,4,4,4,3,3,4,3,3,3,4,0,3.0,0,2,0
4120,0,1,21,1,2,859,4,4,4,3,5,4,5,5,4,5,4,4,4,5,0,0.0,0,0,0
4121,1,0,55,1,0,2125,3,3,3,3,2,3,5,2,2,2,2,4,2,3,0,0.0,0,1,1
4122,0,0,19,0,2,957,2,4,2,4,2,2,2,2,3,2,4,5,5,2,0,2.0,1,0,0
4124,1,0,43,0,0,446,1,5,1,1,3,5,5,5,5,1,5,3,5,3,2,0.0,1,1,0
4125,1,0,31,1,0,1697,5,5,5,5,5,5,5,5,4,5,4,5,4,5,0,9.0,0,0,1
4127,1,0,17,0,2,2475,2,0,2,1,3,2,3,3,3,2,4,3,4,3,0,0.0,1,0,1
4128,0,0,41,1,0,226,1,1,4,1,4,5,4,5,5,5,5,3,5,4,12,0.0,0,1,0
4130,1,0,63,0,2,140,5,3,5,4,5,5,5,5,4,5,2,2,5,5,0,0.0,0,2,0
4131,1,0,43,1,0,2937,4,4,4,4,5,4,5,3,3,4,3,4,3,5,0,0.0,0,1,1
4132,1,0,46,1,0,545,2,2,2,2,3,4,5,5,5,5,5,4,5,3,0,0.0,0,1,0
4133,1,0,25,0,2,679,1,3,1,4,1,1,1,1,5,5,2,5,3,1,1,0.0,1,0,0
4135,0,0,30,1,0,2189,5,5,5,5,3,3,3,3,3,4,4,4,5,3,0,0.0,0,0,1
4136,0,0,40,1,0,2735,5,5,5,5,5,5,4,4,4,4,5,4,4,5,0,0.0,0,1,1
4137,0,0,50,1,0,2320,4,4,4,4,2,4,4,5,5,5,5,3,5,4,0,0.0,0,1,1
4138,0,1,26,1,0,368,2,4,2,1,4,2,3,4,3,4,5,3,5,4,0,0.0,1,0,0
4141,1,0,30,0,2,287,3,4,3,4,3,3,3,3,5,3,4,5,4,3,0,0.0,1,0,0
4143,0,1,35,1,2,140,3,4,2,4,5,2,5,5,1,3,4,4,3,5,7,0.0,1,0,0
4147,1,0,59,1,0,431,3,3,5,3,5,5,4,5,5,5,5,3,5,4,0,0.0,0,1,0
4148,0,1,24,1,2,1204,2,2,2,1,2,2,2,2,3,4,4,4,5,2,0,10.0,1,0,0
4149,0,1,42,1,2,86,3,1,3,4,1,3,1,1,2,1,4,3,4,1,0,0.0,1,1,0
4151,1,1,28,1,0,874,0,0,0,4,3,0,3,3,4,5,5,4,4,3,0,0.0,0,0,0
4152,0,0,53,1,0,1963,2,2,2,2,4,5,5,4,4,4,4,4,4,3,1,1.0,0,1,1
4153,1,0,33,0,2,2521,4,3,4,3,4,2,2,3,5,2,2,2,3,2,0,0.0,0,0,1
4154,0,0,68,1,0,2923,4,3,3,3,3,3,3,2,2,2,4,3,2,2,0,6.0,1,2,1
4159,0,0,29,1,0,2193,2,2,4,2,3,3,3,3,3,3,5,3,5,3,13,4.0,0,0,1
4161,1,0,69,0,2,251,3,4,3,1,5,3,5,5,3,3,4,5,1,5,14,7.0,1,2,0
4162,0,0,40,0,0,1756,3,4,3,5,4,2,1,1,1,3,1,5,1,2,11,0.0,1,1,1
4163,0,0,35,0,2,859,4,5,4,4,1,4,1,1,4,2,4,4,5,1,0,0.0,0,0,0
4165,0,0,49,1,0,3263,1,1,1,1,5,4,4,4,4,4,4,4,4,4,0,0.0,0,1,1
4167,0,0,61,1,0,295,2,2,3,2,3,4,4,4,4,4,4,5,4,3,0,0.0,0,2,0
4169,1,0,54,1,0,3091,2,2,3,2,4,5,5,5,5,5,5,5,5,3,0,0.0,0,1,1
4171,1,0,40,0,2,1576,3,4,3,4,2,3,2,2,4,3,4,5,4,2,0,0.0,1,1,1
4173,0,0,41,0,2,325,3,4,3,4,1,3,1,1,4,4,4,3,3,1,1,2.0,1,1,0
4174,0,1,17,1,0,1242,0,0,0,3,4,0,4,4,4,4,4,4,5,4,18,11.0,0,0,0
4175,0,0,41,1,0,2288,1,1,1,1,5,5,4,2,2,2,2,4,2,5,0,0.0,0,1,1
4177,1,0,19,0,1,455,2,5,2,1,2,2,2,2,3,5,5,4,4,2,0,0.0,1,0,0
4178,0,0,46,1,0,3017,4,4,3,4,4,4,5,3,3,3,3,3,3,5,0,0.0,0,1,1
4179,0,1,28,1,2,853,3,3,3,3,5,3,3,5,4,2,3,3,4,5,0,0.0,1,0,0
4180,1,0,44,1,0,1828,1,1,1,1,3,5,4,2,2,2,2,4,2,3,1,12.0,0,1,1
4181,1,0,50,0,2,224,3,4,3,1,1,3,1,1,5,3,5,4,4,1,0,0.0,1,1,0
4185,1,0,53,1,2,577,1,0,0,3,4,1,2,4,4,4,2,2,2,4,0,0.0,1,1,0
4188,0,1,32,1,0,931,3,3,3,2,3,3,3,3,2,2,3,4,3,3,24,6.0,1,0,0
4190,1,0,51,1,0,3320,4,4,5,4,4,5,4,5,5,5,5,3,5,3,0,4.0,0,1,1
4193,0,0,23,0,2,370,1,4,1,5,4,1,4,4,5,3,3,3,5,4,30,12.0,1,0,0
4195,1,0,49,1,0,1197,1,1,1,1,3,5,5,4,4,5,4,5,4,3,0,5.0,0,1,0
4198,0,1,28,1,2,1134,5,5,5,4,5,5,5,5,1,2,2,2,1,5,16,3.0,0,0,0
4202,1,0,57,0,2,507,3,5,3,5,3,3,3,3,3,1,1,4,4,3,0,0.0,1,1,0
4203,0,0,54,1,0,1197,4,2,4,4,4,4,5,4,4,4,4,3,4,5,0,0.0,0,1,0
4204,1,1,29,1,0,347,4,4,4,3,4,4,4,4,1,3,2,2,2,4,0,0.0,1,0,0
4207,0,0,46,0,2,834,0,5,0,4,5,5,4,3,3,0,3,3,3,4,0,5.0,0,1,0
4208,0,0,41,1,0,271,3,3,3,3,2,4,5,4,4,4,4,5,4,3,0,0.0,0,1,0
4210,1,0,59,0,2,455,3,4,3,3,3,3,3,3,4,5,5,4,4,3,0,0.0,1,1,0
4211,0,0,26,0,2,290,4,4,3,4,5,3,5,5,5,5,5,4,4,5,0,0.0,0,0,0
4213,1,0,25,0,2,542,3,5,3,3,3,3,3,3,3,3,4,3,4,3,0,0.0,1,0,0
4214,1,0,11,0,2,964,3,3,2,3,5,2,5,5,4,1,3,3,3,5,14,0.0,1,0,0
4215,0,0,63,0,2,967,3,4,3,3,2,5,5,3,3,3,3,4,3,5,0,2.0,1,2,0
4217,0,0,7,0,2,210,3,3,3,4,1,3,1,1,2,5,2,3,5,1,9,4.0,1,0,0
4219,1,0,47,0,2,368,2,4,2,4,2,2,2,2,1,4,3,2,3,2,0,0.0,1,1,0
4220,0,0,10,0,2,135,1,0,1,4,3,1,3,3,4,3,4,5,4,3,6,1.0,1,0,0
4221,1,0,24,0,2,762,2,5,2,1,2,2,2,2,5,2,4,5,5,2,0,0.0,1,0,0
4223,1,0,39,1,0,280,3,3,3,3,1,3,2,3,3,3,3,4,3,2,0,0.0,1,0,0
4228,1,0,60,0,0,1499,2,4,2,2,3,4,4,2,2,2,2,3,2,3,0,0.0,1,2,0
4229,0,1,34,1,0,236,1,1,1,2,2,1,2,2,4,5,4,5,4,2,0,0.0,1,0,0
4230,0,0,14,0,0,406,2,5,2,1,3,2,5,3,3,4,5,5,4,3,0,0.0,1,0,0
4232,0,0,64,1,0,2160,1,1,1,1,4,5,4,4,4,4,4,5,4,3,0,0.0,0,2,1
4233,0,0,46,1,1,1990,3,1,1,1,1,3,3,3,3,3,3,2,3,4,4,0.0,1,1,1
4235,1,0,42,1,0,1072,1,1,1,1,2,1,2,4,4,4,4,4,4,1,2,0.0,0,1,0
4237,1,0,56,1,0,408,5,5,5,5,2,4,5,4,4,4,4,3,4,5,0,0.0,0,1,0
4238,0,1,22,1,0,248,4,0,4,1,3,4,1,3,3,2,5,5,5,3,11,3.0,0,0,0
4239,0,0,18,0,2,980,2,5,3,2,4,3,4,4,5,3,4,3,5,4,0,0.0,1,0,0
4242,1,0,57,0,2,500,2,4,2,3,2,2,1,2,4,3,5,4,5,2,6,0.0,1,1,0
4243,1,0,36,0,2,376,2,4,2,3,4,2,4,4,4,4,4,4,4,4,0,1.0,1,0,0
4244,0,1,42,1,0,991,4,4,4,1,2,4,2,2,3,4,5,4,4,2,10,8.0,1,1,0
4245,0,0,47,1,2,508,2,4,5,4,3,4,5,2,2,2,2,3,2,5,0,7.0,0,1,0
4246,1,0,39,1,0,442,1,1,1,1,5,5,5,5,5,5,5,3,5,4,0,0.0,0,0,0
4248,0,0,12,0,2,196,4,5,4,1,1,4,1,1,3,4,5,4,4,1,0,0.0,0,0,0
4249,0,0,62,0,2,1744,1,2,1,2,3,2,2,4,4,1,4,2,4,3,0,0.0,1,2,1
4250,0,0,47,1,0,1813,4,4,4,4,2,5,4,5,5,4,5,4,5,5,0,0.0,0,1,1
4251,1,1,35,1,0,338,2,2,2,3,4,2,4,4,5,3,5,4,4,4,0,0.0,1,0,0
4252,1,0,53,1,0,328,0,0,0,3,4,5,5,2,2,2,2,5,2,4,0,0.0,0,1,0
4255,0,0,35,0,2,2454,1,5,1,4,2,1,2,2,3,2,3,5,5,2,0,0.0,1,0,1
4256,0,1,29,0,2,290,5,5,5,3,2,5,2,2,3,3,4,4,4,2,0,0.0,0,0,0
4257,0,1,37,1,0,314,4,4,4,5,2,4,2,2,5,2,4,5,5,2,0,0.0,0,0,0
4258,1,0,22,0,2,327,2,2,2,4,4,2,4,4,3,2,4,4,4,4,0,0.0,1,0,0
4259,0,0,39,1,1,221,2,2,2,2,2,2,2,2,2,2,1,5,2,2,0,3.0,0,0,0
4263,0,0,49,1,0,689,5,5,5,5,5,4,4,2,2,2,2,4,2,4,15,10.0,0,1,0
4267,1,0,53,0,1,808,1,1,1,2,3,1,3,3,4,4,3,2,3,3,0,0.0,1,1,0
4269,1,0,44,1,0,1812,3,3,3,3,5,4,4,4,4,5,4,5,4,3,0,0.0,0,1,1
4270,1,0,31,0,2,1027,5,5,5,1,4,5,3,4,4,4,5,3,5,4,10,0.0,0,0,0
4271,0,0,42,1,2,677,2,2,3,2,1,4,4,2,2,2,2,2,2,2,0,0.0,1,1,0
4273,0,0,41,1,0,130,3,3,3,3,4,3,5,5,5,4,4,5,5,5,0,5.0,0,1,0
4274,1,0,37,1,0,2611,2,5,5,5,2,2,2,1,4,3,2,2,2,2,28,9.0,1,0,1
4275,1,0,25,1,2,606,4,2,4,4,4,4,2,4,1,3,4,4,4,4,13,0.0,1,0,0
4276,0,0,56,0,2,337,4,3,4,4,5,3,3,1,1,4,1,4,1,2,0,0.0,1,1,0
4277,0,0,12,0,2,448,3,5,4,2,1,4,1,1,3,4,5,4,5,1,0,0.0,1,0,0
4278,1,0,17,0,2,896,2,5,2,2,4,2,1,4,5,5,4,3,5,4,0,0.0,1,0,0
4280,0,0,33,1,1,361,1,3,3,3,1,1,1,1,1,2,3,2,3,1,0,0.0,1,0,0
4281,0,0,46,0,2,956,4,4,4,2,4,5,5,3,3,4,3,4,3,4,0,0.0,1,1,0
4283,1,0,65,0,2,137,2,0,2,2,3,2,1,3,4,4,4,4,4,3,4,0.0,1,2,0
4284,1,0,40,1,2,129,4,4,4,4,4,4,4,4,1,5,2,4,5,4,0,0.0,0,1,0
4285,1,0,43,0,2,934,2,4,2,4,3,2,3,3,4,2,5,4,5,3,0,2.0,1,1,0
4286,1,0,23,1,0,548,4,4,4,4,5,5,5,5,2,4,5,3,3,5,0,0.0,0,0,0
4287,0,0,20,1,0,325,1,3,3,3,1,1,1,1,4,1,4,3,4,1,5,0.0,1,0,0
4290,1,0,48,1,0,259,0,0,0,1,4,4,4,3,3,3,3,4,3,3,0,0.0,0,1,0
4292,1,1,35,1,2,328,4,5,5,1,2,5,2,2,1,4,4,2,3,2,2,0.0,1,0,0
4296,1,0,58,0,2,1080,2,4,2,3,1,2,1,1,4,5,4,4,5,1,0,0.0,1,1,0
